date,agency_pmd,media_source,campaign,impressions,clicks,ctr,installs,conversion_rate,sessions,loyal_users,loyal_users_installs,total_cost,average_ecpi,app_name,device
2025-09-14,,moloco_int,AA_MountQuizmore_AUS_ijCVfwRgnLAmc8Ml_SEM_ACC13,493,209,0.4239,1,0.0048,2,0,0.0000,,,Mount Quizmore,ios
2025-09-14,,moloco_int,AA_MountQuizmore_GRC_MOGiRQkOcWZdSGfW_RBO_ACC28,801,246,0.3071,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-14,,moloco_int,GB_170_Mol_RDPInApp_Camp258,12879,5258,0.4083,35,0.0067,70,0,0.0000,,,Mount Quizmore,ios
2025-09-14,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,730,320,0.4384,1,0.0031,2,0,0.0000,,,Mount Quizmore,ios
2025-09-14,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,1268,548,0.4322,1,0.0018,2,0,0.0000,,,Mount Quizmore,ios
2025-09-15,,Organic,,,,,51,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-15,,moloco_int,AA_MountQuizmore_NZL_JlaOkz21XUPVKw6Q_MIK_ACC1,322,117,0.3634,4,0.0342,8,0,0.0000,,,Mount Quizmore,ios
2025-09-15,,moloco_int,GB_170_Mol_RDPInApp_Camp258,11862,4513,0.3805,31,0.0069,64,1,0.0323,,,Mount Quizmore,ios
2025-09-15,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,796,356,0.4472,1,0.0028,2,0,0.0000,,,Mount Quizmore,ios
2025-09-15,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,108,53,0.4907,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-16,,Organic,,,,,28,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-16,,moloco_int,AA_MountQuizmore_NZL_JlaOkz21XUPVKw6Q_MIK_ACC1,1033,364,0.3524,4,0.0110,8,0,0.0000,,,Mount Quizmore,ios
2025-09-16,,moloco_int,GB_170_Mol_RDPInApp_Camp258,7277,2790,0.3834,29,0.0104,58,0,0.0000,,,Mount Quizmore,ios
2025-09-16,,moloco_int,JT_7wBg5N6d_{{price.cost_amount}}_{{creative.id}}_{{campaign.id}}_{{publisher.name}}_{{request.inventory_type}}_{{creative.type}}_{{creativegroup.id}}_{{adgroup.id}}_cf2ThjUnr2o,163,63,0.3865,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-16,,moloco_int,JT_GLhNWKd1_{{price.cost_amount}}_{{creative.id}}_{{campaign.id}}_{{publisher.name}}_{{request.inventory_type}}_{{creative.type}}_{{creativegroup.id}}_{{adgroup.id}}_cf2TipOPfBk,75,35,0.4667,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-16,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,988,467,0.4727,3,0.0064,6,0,0.0000,,,Mount Quizmore,ios
2025-09-16,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,122,55,0.4508,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-16,,moloco_int,{{campaign.title}},2,,,0,,0,0,,,,Mount Quizmore,ios
2025-09-17,,Organic,,,,,53,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-17,,moloco_int,AA_MountQuizmore_CHE_t2j5keGcLHy82Hju_SEM_ACC13,143,53,0.3706,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-17,,moloco_int,GB_170_Mol_RDPInApp_Camp258,19614,7548,0.3848,65,0.0086,133,1,0.0154,,,Mount Quizmore,ios
2025-09-17,,moloco_int,JT_7wBg5N6d_{{price.cost_amount}}_{{creative.id}}_{{campaign.id}}_{{publisher.name}}_{{request.inventory_type}}_{{creative.type}}_{{creativegroup.id}}_{{adgroup.id}}_cf2ThjUnr2o,32796,10539,0.3214,8,0.0008,16,0,0.0000,,,Mount Quizmore,ios
2025-09-17,,moloco_int,JT_GLhNWKd1_{{price.cost_amount}}_{{creative.id}}_{{campaign.id}}_{{publisher.name}}_{{request.inventory_type}}_{{creative.type}}_{{creativegroup.id}}_{{adgroup.id}}_cf2TipOPfBk,37653,12174,0.3233,13,0.0011,27,0,0.0000,,,Mount Quizmore,ios
