Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI,app_id,app_name,app_platform
2025-08-13,None,moloco_int,Mount Quizmore sub1_213_sub3_sub4_sub5_sub6,13002,5387,0.4143,22,0.0041,44,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-13,None,moloco_int,NL_Olympus_ios_[12/08],3045,1166,0.3829,1,0.0009,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-13,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,7268,2906,0.3998,5,0.0017,10,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-13,None,moloco_int,PM38_sub2_PRT_MountQuizmore_sub5_sub6,14160,4764,0.3364,10,0.0021,20,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-13,None,moloco_int,inapp_moloco_806_14zeus1_sub5_sub6_sub7_sub8_Hjt2L4dv_PM16,20113,8106,0.4030,10,0.0012,20,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,Organic,None,N/A,N/A,N/A,64,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,11124,4082,0.3670,43,0.0105,88,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,Mount Quizmore sub1_213_sub3_sub4_sub5_sub6,33530,13334,0.3977,45,0.0034,90,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,MountQuizmoresub1_213_sub3_sub4_sub5_sub6,14,5,0.3571,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,PM30_sub2_sub3_sub4_sub5_sub6_sub7_cub_8_sub9_sub10_sub11_sub12,8738,3897,0.4460,16,0.0041,32,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,7747,2896,0.3738,7,0.0024,14,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,PM38_sub2_PRT_MountQuizmore_sub5_sub6,22671,8040,0.3546,7,0.0009,14,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,inapp_moloco_806_14zeus1_sub5_sub6_sub7_sub8_Hjt2L4dv_PM16,22204,8236,0.3709,21,0.0025,42,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-14,None,moloco_int,{{campaign.title}},1,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,Organic,None,N/A,N/A,N/A,62,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,10822,4042,0.3735,43,0.0106,88,1,0.0233,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,Mount Quizmore sub1_213_sub3_sub4_sub5_sub6,10744,4431,0.4124,24,0.0054,48,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,MountQuizmoresub1_213_sub3_sub4_sub5_sub6,12322,4317,0.3503,17,0.0039,34,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,PM30_sub2_sub3_sub4_sub5_sub6_sub7_cub_8_sub9_sub10_sub11_sub12,11269,5120,0.4543,16,0.0031,32,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,6693,2354,0.3517,4,0.0017,8,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,PM38_sub2_PRT_MountQuizmore_sub5_sub6,8299,2827,0.3406,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,inapp_moloco_806_14zeus1_sub5_sub6_sub7_sub8_Hjt2L4dv_PM16,21589,8033,0.3721,8,0.0010,16,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-15,None,moloco_int,{{campaign.title}},1,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-16,None,Organic,None,N/A,N/A,N/A,55,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-16,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,11428,5106,0.4468,47,0.0092,97,1,0.0213,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-16,None,moloco_int,PM30_sub2_sub3_sub4_sub5_sub6_sub7_cub_8_sub9_sub10_sub11_sub12,10980,5250,0.4781,13,0.0025,26,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-16,None,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,7445,2997,0.4026,7,0.0023,14,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-16,None,moloco_int,PM38_sub2_PRT_MountQuizmore_sub5_sub6,2,2,1.0000,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
